State,Year,Resource Type,Consumption
Alabama,1960,Wind,0
Alabama,1965,Wind,0
Alabama,1970,Wind,0
Alabama,1971,Wind,0
Alabama,1972,Wind,0
Alabama,1973,Wind,0
Alabama,1974,Wind,0
Alabama,1975,Wind,0
Alabama,1976,Wind,0
Alabama,1977,Wind,0
Alabama,1978,Wind,0
Alabama,1979,Wind,0
Alabama,1980,Wind,0
Alabama,1981,Wind,0
Alabama,1982,Wind,0
Alabama,1983,Wind,0
Alabama,1984,Wind,0
Alabama,1985,Wind,0
Alabama,1986,Wind,0
Alabama,1987,Wind,0
Alabama,1988,Wind,0
Alabama,1989,Wind,0
Alabama,1990,Wind,0
Alabama,1991,Wind,0
Alabama,1992,Wind,0
Alabama,1993,Wind,0
Alabama,1994,Wind,0
Alabama,1995,Wind,0
Alabama,1996,Wind,0
Alabama,1997,Wind,0
Alabama,1998,Wind,0
Alabama,1999,Wind,0
Alabama,2000,Wind,0
Alabama,2001,Wind,0
Alabama,2002,Wind,0
Alabama,2003,Wind,0
Alabama,2004,Wind,0
Alabama,2005,Wind,0
Alabama,2006,Wind,0
Alabama,2007,Wind,0
Alabama,2008,Wind,0
Alabama,2009,Wind,0
Alabama,2010,Wind,0
Alabama,2011,Wind,0
Alabama,2012,Wind,0
Alabama,2013,Wind,0
Alabama,2014,Wind,0
Alabama,2015,Wind,0
Alabama,2016,Wind,0
Alaska,1960,Wind,0
Alaska,1965,Wind,0
Alaska,1970,Wind,0
Alaska,1971,Wind,0
Alaska,1972,Wind,0
Alaska,1973,Wind,0
Alaska,1974,Wind,0
Alaska,1975,Wind,0
Alaska,1976,Wind,0
Alaska,1977,Wind,0
Alaska,1978,Wind,0
Alaska,1979,Wind,0
Alaska,1980,Wind,0
Alaska,1981,Wind,0
Alaska,1982,Wind,0
Alaska,1983,Wind,0
Alaska,1984,Wind,0
Alaska,1985,Wind,0
Alaska,1986,Wind,0
Alaska,1987,Wind,0
Alaska,1988,Wind,0
Alaska,1989,Wind,0
Alaska,1990,Wind,0
Alaska,1991,Wind,0
Alaska,1992,Wind,0
Alaska,1993,Wind,0
Alaska,1994,Wind,0
Alaska,1995,Wind,0
Alaska,1996,Wind,0
Alaska,1997,Wind,0
Alaska,1998,Wind,0
Alaska,1999,Wind,0
Alaska,2000,Wind,0
Alaska,2001,Wind,0
Alaska,2002,Wind,0
Alaska,2003,Wind,0
Alaska,2004,Wind,0
Alaska,2005,Wind,0
Alaska,2006,Wind,0
Alaska,2007,Wind,0
Alaska,2008,Wind,0
Alaska,2009,Wind,0.1
Alaska,2010,Wind,0.1
Alaska,2011,Wind,0.1
Alaska,2012,Wind,0.4
Alaska,2013,Wind,1.4
Alaska,2014,Wind,1.4
Alaska,2015,Wind,1.5
Alaska,2016,Wind,1.6
Arizona,1960,Wind,0
Arizona,1965,Wind,0
Arizona,1970,Wind,0
Arizona,1971,Wind,0
Arizona,1972,Wind,0
Arizona,1973,Wind,0
Arizona,1974,Wind,0
Arizona,1975,Wind,0
Arizona,1976,Wind,0
Arizona,1977,Wind,0
Arizona,1978,Wind,0
Arizona,1979,Wind,0
Arizona,1980,Wind,0
Arizona,1981,Wind,0
Arizona,1982,Wind,0
Arizona,1983,Wind,0
Arizona,1984,Wind,0
Arizona,1985,Wind,0
Arizona,1986,Wind,0
Arizona,1987,Wind,0
Arizona,1988,Wind,0
Arizona,1989,Wind,0
Arizona,1990,Wind,0
Arizona,1991,Wind,0
Arizona,1992,Wind,0
Arizona,1993,Wind,0
Arizona,1994,Wind,0
Arizona,1995,Wind,0
Arizona,1996,Wind,0
Arizona,1997,Wind,0
Arizona,1998,Wind,0
Arizona,1999,Wind,0
Arizona,2000,Wind,0
Arizona,2001,Wind,0
Arizona,2002,Wind,0
Arizona,2003,Wind,0
Arizona,2004,Wind,0
Arizona,2005,Wind,0
Arizona,2006,Wind,0
Arizona,2007,Wind,0
Arizona,2008,Wind,0
Arizona,2009,Wind,0.3
Arizona,2010,Wind,1.3
Arizona,2011,Wind,2.5
Arizona,2012,Wind,5.1
Arizona,2013,Wind,4.3
Arizona,2014,Wind,4.5
Arizona,2015,Wind,4.2
Arizona,2016,Wind,5
Arkansas,1960,Wind,0
Arkansas,1965,Wind,0
Arkansas,1970,Wind,0
Arkansas,1971,Wind,0
Arkansas,1972,Wind,0
Arkansas,1973,Wind,0
Arkansas,1974,Wind,0
Arkansas,1975,Wind,0
Arkansas,1976,Wind,0
Arkansas,1977,Wind,0
Arkansas,1978,Wind,0
Arkansas,1979,Wind,0
Arkansas,1980,Wind,0
Arkansas,1981,Wind,0
Arkansas,1982,Wind,0
Arkansas,1983,Wind,0
Arkansas,1984,Wind,0
Arkansas,1985,Wind,0
Arkansas,1986,Wind,0
Arkansas,1987,Wind,0
Arkansas,1988,Wind,0
Arkansas,1989,Wind,0
Arkansas,1990,Wind,0
Arkansas,1991,Wind,0
Arkansas,1992,Wind,0
Arkansas,1993,Wind,0
Arkansas,1994,Wind,0
Arkansas,1995,Wind,0
Arkansas,1996,Wind,0
Arkansas,1997,Wind,0
Arkansas,1998,Wind,0
Arkansas,1999,Wind,0
Arkansas,2000,Wind,0
Arkansas,2001,Wind,0
Arkansas,2002,Wind,0
Arkansas,2003,Wind,0
Arkansas,2004,Wind,0
Arkansas,2005,Wind,0
Arkansas,2006,Wind,0
Arkansas,2007,Wind,0
Arkansas,2008,Wind,0
Arkansas,2009,Wind,0
Arkansas,2010,Wind,0
Arkansas,2011,Wind,0
Arkansas,2012,Wind,0
Arkansas,2013,Wind,0
Arkansas,2014,Wind,0
Arkansas,2015,Wind,0
Arkansas,2016,Wind,0
California,1960,Wind,0
California,1965,Wind,0
California,1970,Wind,0
California,1971,Wind,0
California,1972,Wind,0
California,1973,Wind,0
California,1974,Wind,0
California,1975,Wind,0
California,1976,Wind,0
California,1977,Wind,0
California,1978,Wind,0
California,1979,Wind,0
California,1980,Wind,0
California,1981,Wind,0
California,1982,Wind,0
California,1983,Wind,0
California,1984,Wind,0
California,1985,Wind,0
