state,Year,features__tweets
 Alabama,2016,1
 Arizona,2016,2
 Arizona,2017,1
 Arizona,2018,3
 California,2015,16
 California,2016,12
 California,2017,5
 California,2018,12
 Colorado,2015,3
 Colorado,2016,1
 Colorado,2017,2
 Colorado,2018,1
 D.C.,2015,4
 D.C.,2016,3
 D.C.,2017,8
 Florida,2015,2
 Florida,2016,6
 Florida,2017,1
 Florida,2018,6
 Georgia,2015,1
 Georgia,2018,2
 Illinois,2015,5
 Illinois,2016,4
 Illinois,2017,1
 Illinois,2018,4
 Indiana,2016,1
 Indiana,2017,1
 Iowa,2016,1
 Kansas,2015,2
 Kansas,2017,1
 Kentucky,2016,3
 Louisiana,2016,1
 Louisiana,2017,1
 Maryland,2018,3
 Massachusetts,2015,5
 Massachusetts,2016,3
 Massachusetts,2017,3
 Massachusetts,2018,3
 Michigan,2015,1
 Michigan,2016,2
 Michigan,2017,2
 Michigan,2018,1
 Minnesota,2015,2
 Minnesota,2017,1
 Missouri,2015,2
 Missouri,2017,1
 Montana,2015,1
 Montana,2017,1
 Nevada,2016,1
 Nevada,2017,1
 Nevada,2018,1
 New Hampshire,2016,1
 New Jersey,2015,1
 New Jersey,2017,1
 New Mexico,2015,1
 New Mexico,2016,1
 New Mexico,2018,1
 New York,2015,12
 New York,2016,7
 New York,2017,4
 New York,2018,5
 North Carolina,2015,4
 North Carolina,2016,1
 North Carolina,2018,1
 Ohio,2015,2
 Ohio,2016,1
 Ohio,2017,1
 Ohio,2018,3
 Oklahoma,2015,1
 Oklahoma,2016,2
 Oklahoma,2018,2
 Oregon,2016,3
 Oregon,2018,3
 Pennsylvania,2015,8
 Pennsylvania,2017,2
 Pennsylvania,2018,5
 Puerto Rico,2016,1
 South Carolina,2016,2
 South Dakota,2015,1
 Tennessee,2017,1
 Texas,2015,6
 Texas,2016,6
 Texas,2017,4
 Texas,2018,9
 Utah,2016,4
 Utah,2018,4
 Vermont,2017,3
 Virginia,2015,2
 Virginia,2016,2
 Virginia,2017,1
 Virginia,2018,2
 Washington,2015,6
 Washington,2016,6
 Washington,2017,4
 Washington,2018,5
 West Virginia,2015,1
 West Virginia,2018,1
 Wisconsin,2016,2
 Wisconsin,2018,2
11216,2018,1
11706,2017,1
41746,2018,1
49623,2017,1
75261,2018,2
77474,2018,1
92386,2018,1
94027,2017,1
Arizona,2015,3
Arizona,2017,1
California,2015,6
California,2016,9
California,2017,15
California,2018,11
Carolina,2016,1
Colorado,2015,1
Colorado,2016,5
Colorado,2017,2
Colorado,2018,2
Connecticut,2015,1
Connecticut,2016,3
Connecticut,2017,1
Delaware,2015,1
Florida,2015,3
Florida,2016,5
Florida,2017,7
Florida,2018,5
Georgia,2015,1
Hawaii,2015,1
Hawaii,2017,1
Idaho,2016,1
Illinois,2015,2
Illinois,2016,1
Illinois,2017,2
Illinois,2018,3
Indiana,2015,1
Indiana,2016,2
Iowa,2016,2
Iowa,2017,1
Iowa,2018,3
Kansas,2015,3
Kentucky,2018,3
Louisiana,2018,1
Maine,2015,1
Maine,2018,2
Maryland,2015,2
Maryland,2017,5
Maryland,2018,4
Massachusetts,2016,4
Massachusetts,2017,1
Massachusetts,2018,1
Michigan,2015,1
Michigan,2016,3
Michigan,2017,2
Michigan,2018,2
Minnesota,2015,4
Minnesota,2016,1
Minnesota,2018,4
Missouri,2017,2
Missouri,2018,1
Nebraska,2017,1
Nevada,2017,1
New Hampshire,2018,1
New Jersey,2015,2
New Jersey,2016,1
New Jersey,2018,3
New Mexico,2015,2
New Mexico,2017,1
New Mexico,2018,1
New York,2015,1
New York,2016,10
New York,2017,1
New York,2018,2
North Carolina,2016,2
North Carolina,2017,1
North Carolina,2018,1
Ohio,2016,3
