Year,user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
2015,3265559538,#GlobalWarming #Tcot NYT: Global Warming Could Be Causing Malformed Babies In Brazil: Peopl... https://t.co/KpuJYcdoht #UniteBlue #CC :-(,Women's News,3265559538,WomenWorldNews1,1,"New Jersey, USA","New Jersey, USA",User location,New Jersey
2015,263077872,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Cally Clarke,263077872,Giant_hamster,1,neeewcasssle,neeewcasssle,User location,
2015,178830272,RT @TrunewsRadio: Climate Models Have Been Wrong About Global Warming For Six Decades https://t.co/81s6xUIQS0 https://t.co/zmdCWR5IRG,James Bountrogiannis,178830272,SpeakeasyJames,1,"GTA, Ontario, Canada","GTA, Ontario, Canada",User location,
2015,18006752,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Kat Capps🇺🇸 🌊,18006752,KatCapps,1,Portland Oregon ,Portland Oregon ,User location, Oregon
2015,1497247081,"I'm wearing shorts and a sleeveless shirt. It's winter. ¿How is global warming not real, @realDonaldTrump?",jules pules,1497247081,GiraffeFR,1,"Florida, USA","Florida, USA",User location,Florida
2015,201095715,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Mariana.,201095715,MariPaula_B,1,Brasil (Uberlândia-MG),Brasil (Uberlândia-MG),User location,
2015,356571417,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Tatiana,356571417,tatianuskaya,1,Entre aviones,Entre aviones,User location,
2015,558814954,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Curtis Eyres,558814954,CurtisEyres,1,"Eastbourne, England","Eastbourne, England",User location,
2015,996020192,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Tim van der Zee,996020192,Research_Tim,1,"Leiden, the Netherlands","Leiden, the Netherlands",User location,
2015,1057645927,"@IrishLadyuk @philbo62 @Big_Bad_John_4 It used 2B Global warming,then when that was disproved they used Climate Change - doh! safe bet there",Lesley Miller,1057645927,LesleyMillercyp,1,UK,UK,User location,
2015,3636137412,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Andrew Westle,3636137412,AndrewWestle,1,"Manchester, England","Manchester, England",User location,
